Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","66.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","60.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","53.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","46.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"SCN9A","Sodium Voltage-Gated Channel Alpha Subunit 9","Protein Coding","47","GC02M166195","45.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN9A"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","44.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","43.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","41.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","40.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"INS","Insulin","Protein Coding","48","GC11M002159","39.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","49","GC17P034255","38.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","49","GC01P156786","37.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","48","GC01M186640","36.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"F2","Coagulation Factor II, Thrombin","Protein Coding","48","GC11P046720","33.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","49","GC17P063477","33.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"SCN11A","Sodium Voltage-Gated Channel Alpha Subunit 11","Protein Coding","42","GC03M038862","33.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN11A"
"ESR1","Estrogen Receptor 1","Protein Coding","53","GC06P151656","33.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","45","GC06P167111","31.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","31.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","52","GC08P127735","31.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","30.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","50","GC19P010270","30.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"SLC6A4","Solute Carrier Family 6 Member 4","Protein Coding","48","GC17M030194","29.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A4"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","53","GC16P055390","29.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","46","GC02P203867","29.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159715","29.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","53","GC10P087863","29.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"EGFR","Epidermal Growth Factor Receptor","Protein Coding","54","GC07P055019","29.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","47","GC01M011785","29.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","28.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"TLR2","Toll Like Receptor 2","Protein Coding","51","GC04P153684","28.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"MIR21","MicroRNA 21","RNA Gene","21","GC17P059841","28.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","50","GC12M025204","28.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"MPO","Myeloperoxidase","Protein Coding","50","GC17M058269","27.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"CTNNB1","Catenin Beta 1","Protein Coding","53","GC03P041236","27.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","27.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","27.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","53","GC04P054657","27.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","49","GC12P012716","27.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","53","GC01M011106","26.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"GDNF","Glial Cell Derived Neurotrophic Factor","Protein Coding","47","GC05M037812","26.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF"
"MIR125A","MicroRNA 125a","RNA Gene","19","GC19P051723","26.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"ALB","Albumin","Protein Coding","50","GC04P073397","26.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","26.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","26.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"EGF","Epidermal Growth Factor","Protein Coding","51","GC04P109912","26.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","52","GC03P030623","25.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","52","GC20P037344","25.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","50","GC07P150990","25.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"NF1","Neurofibromin 1","Protein Coding","48","GC17P031007","25.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"F5","Coagulation Factor V","Protein Coding","45","GC01M169511","25.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","50","GC06P046057","25.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","47","GC19P000854","25.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"MEN1","Menin 1","Protein Coding","46","GC11M064803","24.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"COMT","Catechol-O-Methyltransferase","Protein Coding","50","GC22P019941","24.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"MIR146A","MicroRNA 146a","RNA Gene","21","GC05P160485","24.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"NGF","Nerve Growth Factor","Protein Coding","50","GC01M115285","24.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"PTH","Parathyroid Hormone","Protein Coding","47","GC11M013492","24.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH"
"SOD1","Superoxide Dismutase 1","Protein Coding","52","GC21P031659","24.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1"
"RET","Ret Proto-Oncogene","Protein Coding","53","GC10P043081","24.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RET"
"GCH1","GTP Cyclohydrolase 1","Protein Coding","46","GC14M054842","24.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCH1"
"IL2","Interleukin 2","Protein Coding","46","GC04M122451","24.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"LPL","Lipoprotein Lipase","Protein Coding","50","GC08P019901","24.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"MIR126","MicroRNA 126","RNA Gene","20","GC09P136670","24.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR126"
"IGF2","Insulin Like Growth Factor 2","Protein Coding","47","GC11M002130","24.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2"
"MME","Membrane Metalloendopeptidase","Protein Coding","50","GC03P155024","23.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MME"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","23.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","43","GC11M014945","23.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
