Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"INS","Insulin","Protein Coding","48","GC11M002159","189.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"GCK","Glucokinase","Protein Coding","51","GC07M044145","127.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"TNF","Tumor Necrosis Factor","Protein Coding","52","GC06P033397","119.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","47","GC11M017364","119.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"IL6","Interleukin 6","Protein Coding","49","GC07P022765","110.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","46","GC11M017392","107.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","106.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"TP53","Tumor Protein P53","Protein Coding","53","GC17M007661","105.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","50","GC20P044355","104.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"ALB","Albumin","Protein Coding","50","GC04P073397","104.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"HNF1A","HNF1 Homeobox A","Protein Coding","46","GC12P120978","104.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","104.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","100.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
